Date,NbMessage
2000-00-01,0
2016-08-06,15
2016-08-07,9
2016-08-08,40
2016-08-09,17
2016-08-11,1
2016-08-12,2
2016-08-13,13
2016-08-14,130
2016-08-15,82
2016-08-16,32
2016-08-17,11
2016-08-19,10
2016-08-21,40
2016-08-23,52
2016-08-24,479
2016-08-25,96
2016-08-26,5
2016-08-30,12
2016-08-31,17
2016-09-01,56
2016-09-02,28
2016-09-03,17
2016-09-04,4
2016-09-05,23
2016-09-07,13
2016-09-08,10
2016-09-09,5
2016-09-10,10
2016-09-11,5
2016-09-12,3
2016-09-13,2
2016-09-14,25
2016-09-15,34
2016-09-17,9
2016-09-18,3
2016-09-23,19
2016-09-24,3
2016-09-26,11
2016-09-27,10
2016-09-29,23
2016-10-01,2
2016-10-02,3
2016-10-04,30
2016-10-06,4
2016-10-07,23
2016-10-08,24
2016-10-09,11
2016-10-10,22
2016-10-11,3
2016-10-12,5
2016-10-13,47
2016-10-17,1
2016-10-18,21
2016-10-19,19
2016-10-21,6
2016-10-22,6
2016-10-23,12
2016-10-24,5
2016-10-25,16
2016-10-27,1
2016-10-29,25
2016-10-30,7
2016-10-31,11
2016-11-01,3
2016-11-02,39
2016-11-03,4
2016-11-04,6
2016-11-05,5
2016-11-06,6
2016-11-08,2
2016-11-09,14
2016-11-10,4
2016-11-12,12
2016-11-13,20
2016-11-15,10
2016-11-17,16
2016-11-18,14
2016-11-19,36
2016-11-20,15
2016-11-21,21
2016-11-22,2
2016-11-24,8
2016-11-25,4
2016-11-26,10
2016-11-27,4
2016-12-01,2
2016-12-03,36
2016-12-04,126
2016-12-05,10
2016-12-06,21
2016-12-07,6
2016-12-08,11
2016-12-09,24
2016-12-10,11
2016-12-13,4
2016-12-14,49
2016-12-15,21
2016-12-16,29
2016-12-17,3
2016-12-18,2
2016-12-20,15
2016-12-21,3
2016-12-22,7
2016-12-23,5
2016-12-24,5
2016-12-25,11
2016-12-26,35
2016-12-27,11
2016-12-29,24
2016-12-30,34
2016-12-31,52
2017-01-01,12
2017-01-02,40
2017-01-03,4
2017-01-05,27
2017-01-06,26
2017-01-07,33
2017-01-08,41
2017-01-09,9
2017-01-10,17
2017-01-12,35
2017-01-14,5
2017-01-15,10
2017-01-16,60
2017-01-18,19
2017-01-19,3
2017-01-20,2
2017-01-21,22
2017-01-22,4
2017-01-23,32
2017-01-24,4
2017-01-25,40
2017-01-28,33
2017-01-29,62
2017-01-30,6
2017-01-31,5
2017-02-01,5
2017-02-02,2
2017-02-03,25
2017-02-04,23
